,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
prob[172],0.5116169173,0.0147843902,0.4824651273,0.5376142686,5.622e-05,3.97537e-05,68664.1871966771,42191.0913841968,1.0000347277
prob[173],0.9129136545,0.0418366748,0.8358561898,0.9828822469,0.0001998221,0.0001412965,47379.569923146,35857.6201738172,1.0000816131
prob[174],0.7944993328,0.0496502186,0.7053988565,0.8899912269,0.0002233356,0.000157923,49381.3757945051,36838.2278224194,1.0000150538
prob[175],0.9971263199,0.0046386081,0.9897493402,0.999999883,2.53869e-05,1.79515e-05,45904.9989659316,36358.4690302445,1.0001516354
prob[176],0.5725392763,0.1368825726,0.3150539331,0.8195717172,0.0005499616,0.0004068241,61121.7122105504,37985.5202049067,1.0000103833
prob[177],0.9995454503,0.0011592433,0.9982264087,0.9999999998,6.265e-06,4.4319e-06,47214.381199066,36075.6755824405,1.0001146481
prob[178],0.5712356875,0.0199562516,0.5335935341,0.6087215024,7.50139e-05,5.3043e-05,70575.3432654314,37143.9617195313,0.9999983393
prob[179],0.999385961,0.0014776334,0.9975834301,0.9999999992,8.0991e-06,5.7293e-06,45713.8338304043,36095.5935334513,1.000164509
prob[180],0.9849174569,0.0150461945,0.9575451712,0.9999223965,7.91143e-05,5.59427e-05,46294.9655324392,36359.3194020554,1.0001504627
prob[181],0.9997047821,0.0008544624,0.9988303556,0.9999999999,4.6476e-06,3.2877e-06,45650.8096922853,35987.3744032606,1.0001605496
prob[182],0.9640045507,0.0263156006,0.9157183203,0.9988765876,0.0001327614,9.38772e-05,46676.7778128828,35945.2848612536,1.0001292022
prob[183],0.9290990265,0.0387481836,0.8578614466,0.9907717497,0.0001926285,0.0001362099,45135.1822011731,35685.9180535055,1.0001635834
prob[184],0.3363626935,0.1386458803,0.093234401,0.5957213535,0.0006711435,0.0005246688,46839.765813041,31889.1550582373,1.0000124815
prob[185],0.4570628472,0.0196436319,0.4207405213,0.4916654313,9.02834e-05,6.45258e-05,41464.0956718204,28338.7507827778,1.0001033107
prob[186],0.999793449,0.0006539756,0.999186987,1.0,3.5364e-06,2.5016e-06,45622.8312588356,36011.2701270316,1.00016748
prob[187],0.6678980918,0.0361265476,0.6033240281,0.7377707295,0.0001537537,0.0001087208,54514.809781396,37614.012811128,1.0000135042
prob[188],0.998746645,0.002482596,0.9953372983,0.999999997,1.32279e-05,9.3564e-06,51511.5640476994,37394.5475262123,1.0000217383
prob[189],0.9979731897,0.0035304975,0.9926515148,0.9999999717,1.90762e-05,1.34909e-05,47699.5203445384,35880.2904871087,1.0000988492
prob[190],0.6330025066,0.0298679223,0.5792834211,0.6896970005,0.0001383815,9.78511e-05,45135.1822011731,35685.9180535055,1.0001286635
prob[191],0.993512251,0.0083615467,0.9790503456,0.9999985433,4.51565e-05,3.19307e-05,46064.5055316908,36246.9652012761,1.0001510718
prob[192],0.6183930138,0.0278034428,0.5679510102,0.6711295053,0.0001131092,8.00577e-05,59789.251604573,35967.5687099563,1.0000105474
prob[193],0.565882812,0.0191695519,0.529959381,0.6023703729,7.12769e-05,5.04006e-05,72283.1384904891,37429.7538019402,0.9999991031
prob[194],0.9988923976,0.0023183012,0.9957466278,0.9999999943,1.28241e-05,9.0713e-06,45135.1822011731,35685.9180535055,1.0001704924
prob[195],0.4355004261,0.0231302533,0.3920437825,0.4764648787,0.000109254,7.82686e-05,39996.3490720548,28455.1330892309,1.0001017762
prob[196],0.9852698911,0.0137234645,0.9609397738,0.9998482798,7.17427e-05,5.07302e-05,47624.7686774102,36067.9582615971,1.0000732557
prob[197],0.0108694272,0.0124284967,2.88104e-05,0.0320180657,7.0208e-05,5.16571e-05,41906.6659628827,34100.1960514525,1.0000190559
prob[198],0.6803973657,0.0478182312,0.5917072861,0.7693448097,0.0001892962,0.0001341817,63423.4413504191,36732.6546725712,1.0000883031
prob[199],0.0619841664,0.0387314425,0.005157923,0.1323615606,0.0002116331,0.000161924,39156.3466717641,32482.4524795546,1.0000169827
prob[200],0.1652054647,0.0609707968,0.0563847591,0.2771925799,0.0003292588,0.0002475899,36524.2525219202,30492.8804505441,1.0000264642
prob[201],0.3881599653,0.0611581239,0.274048611,0.5042877585,0.0003277943,0.0002368643,35323.6180330991,31021.1289935732,1.0000277205
prob[202],0.0227732702,0.0206682091,0.0003587782,0.0595943616,0.0001152132,8.69566e-05,40954.3717905983,33790.8830497974,1.0000106217
prob[203],0.1747805327,0.0619847255,0.0610845168,0.2866514813,0.0003347042,0.0002511712,36344.0207720895,30224.092723934,1.0000271541
prob[204],0.2975442287,0.0656142313,0.173725998,0.4190627433,0.0003547085,0.0002598876,34907.2594275267,29680.2047274856,1.0000322179
prob[205],0.1446244731,0.0583124257,0.0425944127,0.2516486263,0.0003150669,0.0002379604,36934.2955856378,30523.1400148081,1.0000251082
prob[206],0.2101535555,0.0646577592,0.0908433827,0.3287412217,0.0003492144,0.0002601296,35762.7451982271,29573.4824866013,1.0000297922
prob[207],0.5372664152,0.0509935786,0.4462710974,0.6366950864,0.0002488222,0.0001773178,42706.7009349387,38205.0750424626,0.9999884719
prob[208],0.0375400024,0.0286214647,0.0013325104,0.0892749414,0.0001579466,0.0001204236,40144.9343024103,33236.3837933464,1.0000133564
prob[209],0.2599153008,0.0660327172,0.1386760293,0.3844136313,0.000356939,0.0002633032,35166.6057258447,29296.5555309808,1.0000320148
prob[210],0.9852698911,0.0137234645,0.9609397738,0.9998482798,7.17427e-05,5.07302e-05,47624.7686774102,36067.9582615971,1.0000732557
prob[211],0.2928794142,0.0466774524,0.2052445634,0.3801505523,0.0002433528,0.0001776426,37265.133519109,30208.1414419861,1.0000313527
prob[212],0.2510599757,0.0659636521,0.1281008889,0.3731057711,0.000356515,0.0002634335,35250.7850328896,29340.2349494107,1.0000316413
prob[213],0.5760586598,0.0157654705,0.5478107817,0.6063030194,7.11191e-05,5.02891e-05,47624.7686774102,36067.9582615971,1.0000785683
prob[214],0.0278933922,0.0228482064,0.0007202541,0.0688562626,0.0001249156,9.50163e-05,41901.107241734,33925.5268083407,1.0000274092
prob[215],0.1524018192,0.0472201361,0.0675160324,0.2409078154,0.0002309734,0.0001739037,43920.8179485472,33896.8255525119,1.0000579689
prob[216],0.7418369252,0.048087109,0.6516568678,0.8316455295,0.000180637,0.0001277302,70144.1044127466,37260.552035993,1.0000649433
prob[217],0.0173416407,0.016621549,0.0001769211,0.0466617556,9.17333e-05,6.88938e-05,42668.8370383714,34346.2510144771,1.0000168637
prob[218],0.1019121305,0.0503131789,0.0208058956,0.1957044694,0.0002727348,0.0002077442,37941.1852422244,31697.7667477135,1.0000208865
