,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
prob[656],0.9900475961,0.0008965947,0.9883510403,0.9917168724,6.0866e-06,4.304e-06,21856.9986261056,20436.7083287574,0.9999671599
prob[657],0.4497998253,0.0011341008,0.4476722284,0.4519254986,8.906e-06,6.298e-06,16216.7905168698,18121.1477557145,1.0000041136
prob[658],0.4588061869,0.0010535899,0.4568761945,0.4608221316,8.4728e-06,5.9915e-06,15463.1560485547,17249.3239127703,1.0000738145
prob[659],0.9994477513,8.48977e-05,0.999284001,0.9995978188,6.43e-07,4.547e-07,17671.3988088159,19515.7769492593,1.0000153091
prob[660],0.9017062112,0.0038867534,0.8943436138,0.9089398465,2.85383e-05,2.018e-05,18634.25140189,19998.2697243533,0.9999976348
prob[661],0.5047320828,0.0010751003,0.5027303077,0.5067740308,8.1523e-06,5.7648e-06,17387.4950005555,18763.2631331116,1.0000951456
prob[662],0.9991877516,0.0001181668,0.998959879,0.9993973519,8.94e-07,6.321e-07,17701.1318940335,19475.5857513436,1.0000107124
prob[663],0.810953076,0.006116025,0.7997310559,0.8226687792,3.99287e-05,2.82342e-05,23483.0243265681,20572.679720103,1.0000472393
prob[664],0.4920512985,0.0011278839,0.4899237171,0.4941711111,8.9199e-06,6.3077e-06,15985.5117871296,18027.5736761041,1.0001835561
prob[665],0.601839215,0.0019705299,0.5981694394,0.6056099219,1.32083e-05,9.3398e-06,22263.4542746114,20753.9585702341,0.9999711255
prob[666],0.4842284612,0.0021312519,0.4802464697,0.4882747833,1.68696e-05,1.19297e-05,15952.4251544475,18036.1599284071,1.0001889199
prob[667],0.9936487874,0.0006270253,0.992475455,0.9948260882,4.3064e-06,3.0451e-06,21371.9930619973,20565.7578062436,0.9999499066
prob[668],0.7756386447,0.0043283377,0.7674553348,0.7836868493,3.21907e-05,2.27626e-05,18103.3836309031,19854.9958636669,1.0000185328
prob[669],0.4519778043,0.0026315266,0.4470620369,0.456933289,2.13621e-05,1.51072e-05,15177.7033298417,17196.5296219807,1.0001424437
prob[670],0.6029055245,0.0029819864,0.597298065,0.6084714838,1.96762e-05,1.39141e-05,22990.955201755,20763.6238805407,1.0000378034
prob[671],0.9406913819,0.0033634356,0.9340866689,0.9467179386,2.17627e-05,1.53888e-05,23936.4856619229,21188.587999931,0.999973307
prob[672],0.6808850631,0.0039317109,0.6735204995,0.6882329339,2.53668e-05,1.79375e-05,24048.2020870276,20855.7716037352,0.9999876472
prob[673],0.7325422616,0.0053727193,0.7223079971,0.7424634917,3.50459e-05,2.47815e-05,23524.8007082387,20628.8024117486,1.0000447781
prob[674],0.8146580933,0.0045309934,0.8063585818,0.8234199735,2.9891e-05,2.11364e-05,23007.9686282806,20882.2309827738,0.9999602356
prob[675],0.5577295832,0.0019665565,0.5540885098,0.561456149,1.32132e-05,9.3435e-06,22177.4329370444,20943.6121047908,1.0000424931
prob[676],0.208224152,0.0054107452,0.1985659406,0.2188458718,4.32388e-05,3.05932e-05,15670.8312622047,17287.3074456322,1.0000389902
prob[677],0.6823962463,0.0043254652,0.6742936153,0.6904777835,2.80894e-05,1.9863e-05,23736.414805364,20652.3531361143,1.000051102
prob[678],0.6265484892,0.0041415426,0.618876823,0.6343863125,2.7811e-05,1.96672e-05,22203.9855185195,20875.0306277447,1.0000443137
prob[679],0.4235517202,0.0070639466,0.4098330126,0.4364055887,5.64373e-05,3.99204e-05,15664.0760691443,18061.8686214208,1.0001853074
prob[680],0.9406913819,0.0033634356,0.9340866689,0.9467179386,2.17627e-05,1.53888e-05,23936.4856619229,21188.587999931,0.999973307
prob[681],0.6029055245,0.0029819864,0.597298065,0.6084714838,1.96762e-05,1.39141e-05,22990.955201755,20763.6238805407,1.0000378034
prob[682],0.7334208671,0.0038886503,0.7260884198,0.7407348514,2.81915e-05,1.99347e-05,19055.6949288807,20409.3296848968,0.9999904129
prob[683],0.9796154761,0.0015170432,0.9766903037,0.9823983656,1.09508e-05,7.7435e-06,19312.5779086818,20475.8782766104,0.9999751497
prob[684],0.5958523792,0.002295793,0.591539402,0.6001274614,1.48337e-05,1.04893e-05,23978.510517421,20685.9291824892,1.000007574
prob[685],0.4191176942,0.0020585246,0.4152857299,0.4229910361,1.65708e-05,1.17187e-05,15431.7650074855,17312.2055186291,1.000076692
prob[686],0.5423556441,0.0025754433,0.5373526952,0.5470450755,1.84652e-05,1.30581e-05,19454.767910608,19971.057367758,1.0000514154
prob[687],0.7302847309,0.0038447096,0.7231087547,0.7376044866,2.76646e-05,1.95621e-05,19332.9257618435,20475.8453068363,0.9999748246
prob[688],0.4205733952,0.002577716,0.4158643301,0.4255183529,2.10675e-05,1.4899e-05,14974.9793998097,17112.1076077586,1.0000770439
prob[689],0.5316722673,0.0034071588,0.525347843,0.5381521442,2.52765e-05,1.78759e-05,18173.6737609594,19307.0097666747,1.0000891817
prob[690],0.6343666435,0.0029958346,0.6287257119,0.6399407425,1.93178e-05,1.366e-05,24077.5724101094,20971.4422121777,0.999977128
prob[691],0.7285080219,0.0042217904,0.7205255647,0.7363664887,2.73316e-05,1.93266e-05,23883.3891893232,20989.9050883298,0.9999690062
prob[692],0.7756386447,0.0043283377,0.7674553348,0.7836868493,3.21907e-05,2.27626e-05,18103.3836309031,19854.9958636669,1.0000185328
prob[693],0.4350455689,0.0045856701,0.4263497192,0.4435861478,3.69241e-05,2.61146e-05,15415.7933612377,17642.2501102582,1.0001844958
prob[694],0.7749384485,0.0072011799,0.7615360173,0.7884920711,4.81635e-05,3.40578e-05,22374.5754867039,20829.2331786003,1.0000552595
prob[695],0.9982423995,0.0002210547,0.9978244427,0.9986483478,1.6356e-06,1.1565e-06,18610.9804678182,19945.7070412032,0.9999976795
prob[696],0.9928956547,0.000684167,0.9916359395,0.9942067507,4.9422e-06,3.4947e-06,19327.2085793867,20475.8453068363,0.9999754753
prob[697],0.2386804842,0.0059230724,0.2279034819,0.2500954932,4.808e-05,3.40168e-05,15187.7122073409,17326.9609375368,1.0000999473
prob[698],0.6372563282,0.0026096314,0.6323415376,0.6421280007,1.93802e-05,1.37041e-05,18129.5826822711,19906.9922067924,1.0000198297
prob[699],0.74541073,0.0050701877,0.7357845921,0.7547572312,3.27891e-05,2.3186e-05,23933.990173162,20618.7469917705,1.0000209072
